"Date","Seller","Buyer","Item","Price","Durability","Rarity"
"8/18/2015 6:34:20 AM","Lidl","dumb","Ion Cannon I","$9,500","35","g"
"8/18/2015 6:47:40 AM","exmachina","2ndhandstore","Advanced Electronics","$5,000,000","100","o"
"8/18/2015 7:13:15 AM","Hexcision","Psycosomatik","Osmium Armor XVI","$100,000","66","b"
"8/18/2015 7:21:31 AM","gungner","ZionA999","Proton Launcher VI","$10,000","40","g"
"8/18/2015 7:22:48 AM","ifightnerdz","MrFruitSalt","Kismet Gambit VIII","$100,000","100","p"
"8/18/2015 7:29:33 AM","plons","sqlServer","Titanium Hull II","$9,500","25","g"
"8/18/2015 7:36:04 AM","Zannah","plons","Hold-R113 I","$40,000","100","b"
"8/18/2015 7:47:14 AM","Metalgirl","MkktBkkt","LCD-V1","$26,000","36","g"
"8/18/2015 7:50:22 AM","Kanabos","KidKanabos","Riftbreaker III","$44,000","59","g"
"8/18/2015 7:50:36 AM","cyber178","NineLashes","Composite Hull VIII","$150,000","59","p"
"8/18/2015 7:52:30 AM","cyber178","NineLashes","Hold-P224 VII","$75,000","36","p"
"8/18/2015 7:54:53 AM","cyber188","NineLashes","Meson Blaster XI","$30,000","36","b"
"8/18/2015 7:56:50 AM","cyber188","NineLashes","Thorium Armor IX","$20,000","25","b"
"8/18/2015 7:58:05 AM","cyber187","NineLashes","Hellcannon XI","$30,000","58","b"
"8/18/2015 8:04:01 AM","bank1of1","Piratejuggs1","Exoprene Shield V","$35,000","49","b"
"8/18/2015 8:08:41 AM","yay1234","SUMMONED","Omega Rifle VI","$400,000","43","o"
"8/18/2015 8:08:54 AM","cyber178","SUMMONED","Proton Launcher V","$300,000","35","o"
"8/18/2015 8:10:03 AM","stexi","iSmooth","Carbide Hull IV","$4,000","42","g"
"8/18/2015 8:15:04 AM","sethtnt","Qwertyy","Pulverizer V","$778","22","g"
"8/18/2015 8:16:52 AM","cyber178","SUMMONED","Cataclysm XII","$20,000","49","b"
"8/18/2015 8:37:11 AM","TheBlacky","IronTrev","Thorium Armor VII","$99,000","55","p"
"8/18/2015 8:48:05 AM","HaRdKoRE","niklascnx","Demolisher XVII","$399,999","40","o"
"8/18/2015 8:57:21 AM","Zannah","braap709","Hold-R113 VI","$50,000","100","b"
"8/18/2015 9:13:19 AM","Dr1337","Somepilotguy","Thorium Armor I","$1,210","16","g"
"8/18/2015 9:13:19 AM","Dr1337","iSmooth","Hold-P209 III","$4,400","42","g"
"8/18/2015 9:13:19 AM","Dr1337","Somepilotguy","Hold-P119 VI","$3,220","41","g"
"8/18/2015 9:19:06 AM","cyber187","SUMMONED","Riftbreaker XI","$10,000","27","g"
"8/18/2015 9:24:26 AM","electronic","Psycosomatik","Osmium Armor XIII","$1,149,999","101","o"
"8/18/2015 9:36:27 AM","plons","quackerz101","Hold-P204 III","$9,500","40","g"
"8/18/2015 9:42:27 AM","RachelMoon","xelenia","Alien Hunter","$650,000","92","b"
"8/18/2015 9:57:31 AM","TLN","Somepilotguy","Hold-H223 VI","$3,500","62","g"
"8/18/2015 9:58:16 AM","NineLashes","Mathews95","Exterminator IX","$150,000","83","b"
"8/18/2015 10:02:57 AM","iSmooth","Mathews95","Hold-H225 III","$9,500","48","g"
"8/18/2015 10:03:53 AM","Pravdivcev","Mathews95","Cytoplast Shield II","$20,000","57","g"
"8/18/2015 10:17:59 AM","razorX","reventon","Wyvern IX","$284,501","62","g"
"8/18/2015 10:26:40 AM","bucket","TheHague","Osmium Armor XI","$23,782","49","g"
"8/18/2015 10:33:43 AM","xDANx","radar","Holocrine Shield IX","$29,999","64","b"
"8/18/2015 10:46:43 AM","DroneRaider","biiis","Hold-W105 V","$99,999","88","p"
"8/18/2015 10:53:12 AM","ArgonPrime","Stryker","Hold-H206 V","$99,000","20","p"
"8/18/2015 10:55:46 AM","RivenDeckard","squidII","Diamond Armor XX","$1,999,000","100","o"
"8/18/2015 11:04:45 AM","inviktus","TheHague","Basilisk VI","$65,000","51","p"
"8/18/2015 11:07:21 AM","Zannah","revas","Hold-R113 VI","$50,000","100","b"
"8/18/2015 11:46:01 AM","iSmooth","kirasa","Diamond Armor I","$7,500","56","g"
"8/18/2015 11:47:01 AM","shinji2024","MantrA","Hold-H224 VI","$100,000","36","g"
"8/18/2015 11:48:50 AM","cyber187","kirasa","Hold-P207 III","$10,000","57","g"
"8/18/2015 11:54:33 AM","NineLashes","nemisisVW","Alien Hunter","$100,000","100","g"
"8/18/2015 11:56:08 AM","Mak3Mon3y18","kirasa","Thorium Armor V","$30,000","49","b"
"8/18/2015 12:01:10 PM","NineLashes","cartoverlord","Drone Tech I","$250,000","100","g"
"8/18/2015 12:04:08 PM","MUFC","Somepilotguy","Hold-W206 VII","$10,000","42","b"
"8/18/2015 12:04:08 PM","MUFC","Somepilotguy","Hold-P118 VI","$12,100","63","b"
"8/18/2015 12:16:02 PM","djrbillingdb","cupubank","Carbide Hull VIII","$895","43","g"
"8/18/2015 12:21:16 PM","WarCryciS","sid20","Exoprene Shield XVI","$590,000","66","p"
"8/18/2015 12:30:53 PM","setan1500","Bullitt482","Firecat XI","$55,555","41","p"
"8/18/2015 12:31:11 PM","uMadBro","T3310","Diamond Armor XI","$74,999","100","b"
"8/18/2015 12:32:10 PM","cyber188","djrbilling","Thorium Armor XII","$10,000","35","g"
"8/18/2015 12:35:12 PM","Everyone","Pravdivcev","Skip Drive","$350,000","100","p"
"8/18/2015 12:38:34 PM","ArgonPrime","T3310","Oblivion II","$59,000","59","g"
"8/18/2015 12:44:37 PM","cyber178","watchman","Carbide Hull XI","$100,000","60","b"
"8/18/2015 12:50:58 PM","JHood","IAmZim","Carbide Hull XIII","$30,000","100","g"
"8/18/2015 1:01:30 PM","qqking","dopy2","Viper IX","$375,000","101","p"
"8/18/2015 1:02:20 PM","cyber178","slow","Phaser IV","$10,000","61","g"
"8/18/2015 1:06:28 PM","cyber188","dopy2","Citadel Gambit IX","$50,000","53","g"
"8/18/2015 1:20:51 PM","cyber188","Pratoreus","Hold-R224 III","$20,000","41","g"
"8/18/2015 1:37:33 PM","Pravdivcev","Somepilotguy","Thorium Armor II","$13,310","20","b"
"8/17/2015 12:04:04 AM","MUFC","TychusTwo","Hold-W211 V","$50,000","24","p"
"8/17/2015 12:31:08 AM","bdad","toreador","Holocrine Shield IX","$35,000","48","b"
"8/17/2015 12:59:47 AM","markcalico","iSmooth","Carbide Hull I","$5,000","62","g"
"8/17/2015 1:09:13 AM","DeathFlamezX","iSmooth","Rapture II","$20,000","50","g"
"8/17/2015 1:09:27 AM","DeathFlamezX","iSmooth","Oblivion IV","$20,000","25","g"
"8/17/2015 1:11:33 AM","HermesLLC","iSmooth","Diamond Armor VII","$5,000","34","g"
"8/17/2015 1:13:47 AM","Mystic02","iSmooth","Silence I","$4,868","38","g"
"8/17/2015 1:29:55 AM","olo","2ndhandstore","Cabal Tech I","$650,000","100","p"
"8/17/2015 2:16:27 AM","Hexcision","AgentP","Cabal Tech I","$250,000","100","b"
"8/17/2015 2:22:24 AM","Ware138","Collins00","Hold-P118 IV","$27,200","47","g"
"8/17/2015 2:23:56 AM","HermesLLC","MrFruitSalt","Harpy VIII","$10,000","47","g"
"8/17/2015 2:30:35 AM","DroneRaider","RapisherPro","Demolisher XII","$99,999","75","p"
"8/17/2015 2:31:12 AM","Golff","MrFruitSalt","Exoprene Shield IV","$9,500","52","g"
"8/17/2015 2:37:07 AM","iSmooth","snakeyes","Oblivion IV","$29,000","25","g"
"8/17/2015 2:38:12 AM","Somepilotguy","iSmooth","Hold-P215 V","$5,000","43","g"
"8/17/2015 2:38:12 AM","Somepilotguy","iSmooth","Hold-H216 IV","$5,000","33","g"
"8/17/2015 2:41:39 AM","Psycosomatik","Evil","Grappling Hook","$2,500,000","75","p"
"8/17/2015 3:00:48 AM","RPG80","Destroyix","HX-V12","$666,666","100","p"
"8/17/2015 3:37:58 AM","DeathFlamezX","TheViperBg","Tank","$2,000,000","100","p"
"8/17/2015 4:24:43 AM","HermesLLC","JackAndCoke","Holocrine Shield II","$787","25","g"
"8/17/2015 4:32:41 AM","","iSmooth","Cataclysm II","$20,000","23","b"
"8/17/2015 4:38:43 AM","LukeRm","Hadrian","Matter Inverter XIV","$1,090,000","95","o"
"8/17/2015 4:49:23 AM","DeathFlamezX","wyreka","Rapture XV","$20,000","22","g"
"8/17/2015 5:31:17 AM","Husaria","TheDarkOne","Titanium Hull IV","$100,000","80","o"
"8/17/2015 5:33:34 AM","loneranger","Slaught","Aegis Gambit XIV","$69,000","57","g"
"8/17/2015 5:38:22 AM","Hexcision","ArgonPrime","Corruptor VIII","$50,000","32","b"
"8/17/2015 5:40:39 AM","Kanabos","KanabosKid","Titanium Hull XV","$203,000","44","g"
"8/17/2015 5:45:09 AM","bdad","JAXaRipper","Exoprene Shield XVI","$35,000","20","b"
"8/17/2015 5:51:51 AM","Somepilotguy","ArgonPrime","Hold-W114 VII","$20,000","64","b"
"8/17/2015 6:00:40 AM","kirasa","ArgonPrime","Gargoyle III","$12,000","61","g"
"8/17/2015 6:01:20 AM","bumalu","ArgonPrime","Ruin VI","$10,000","64","g"
"8/17/2015 6:03:07 AM","iSmooth","ArgonPrime","Diamond Armor IV","$9,500","64","g"
"8/17/2015 6:03:15 AM","plons","ArgonPrime","Diamond Armor I","$11,500","63","g"
"8/17/2015 6:21:06 AM","MUFC","Mystic02","Hellcannon XIV","$3,630","16","g"
"8/17/2015 6:22:14 AM","MUFC","Mystic02","Thorium Armor VIII","$3,630","17","g"
"8/17/2015 6:22:14 AM","MUFC","Mystic02","Thorium Armor IV","$3,993","40","g"
"8/17/2015 6:22:14 AM","MUFC","ArgonPrime","Composite Hull XII","$5,000","51","g"
"8/17/2015 6:22:14 AM","MUFC","ArgonPrime","Composite Hull IX","$5,000","47","g"
"8/17/2015 6:30:14 AM","MUFC","ArgonPrime","Hold-W223 III","$5,500","61","g"
"8/17/2015 6:30:49 AM","Meems","gazkull","Agony VII","$20,000","62","g"
"8/17/2015 6:32:37 AM","TheViperBg","walter1989","HX-V7","$1,000,000","100","o"
"8/17/2015 6:33:37 AM","kirasa","HoldFast","Auto Cannon VIII","$20,000","19","g"
"8/17/2015 6:34:16 AM","exmachina","MrFruitSalt","Havok Tech I","$133,100","100","g"
"8/17/2015 6:52:22 AM","Randomius","ArgonPrime","Hold-P117 IV","$6,352","54","g"
"8/17/2015 7:15:23 AM","KrytonRD","ArgonPrime","Ion Cannon XIII","$2,791","56","g"
"8/17/2015 7:38:30 AM","Meems","Mystic02","Hold-W124 IV","$3,630","29","g"
"8/17/2015 7:38:30 AM","Meems","Mystic02","Hold-P119 VI","$3,993","41","g"
"8/17/2015 7:38:30 AM","Meems","Mystic02","Hold-H221 IV","$3,630","42","g"
"8/17/2015 8:02:50 AM","ZedYago","iSmooth","Osmium Armor VI","$2,500","51","g"
"8/17/2015 8:04:48 AM","SierraEcho1","iSmooth","Horror I","$25,000","60","g"
"8/17/2015 8:20:39 AM","Somepilotguy","ArgonPrime","Matter Inverter VII","$5,000","57","g"
"8/17/2015 8:21:39 AM","Somepilotguy","ArgonPrime","Rail Gun VII","$5,500","53","g"
"8/17/2015 8:23:46 AM","Somepilotguy","ArgonPrime","Hold-P202 VII","$5,000","61","g"
"8/17/2015 8:23:46 AM","Somepilotguy","ArgonPrime","Hold-H218 VII","$5,000","58","g"
"8/17/2015 8:52:54 AM","baddoggy","CaptMoss","Osmium Armor VII","$6,600","54","g"
"8/17/2015 8:58:08 AM","IdStew","Bwahni","Osmium Armor VIII","$10,000","100","b"
"8/17/2015 8:58:27 AM","IdStew","aryan69","Carbide Hull VII","$10,000","68","b"
"8/17/2015 9:01:15 AM","seeker66","Akimbo","Drone Mk. III","$5,000","55","g"
"8/17/2015 9:01:54 AM","baddoggy","Mystic02","Hold-H113 III","$3,630","23","g"
"8/17/2015 9:04:40 AM","moi","Ratt","Hold-R107 V","$99,999","100","b"
"8/17/2015 9:06:09 AM","Everyone","TexanSOB","Titanium Hull IV","$75,000","52","g"
"8/17/2015 9:09:04 AM","TheHood","charly","Hold-P123 VI","$399,000","57","o"
"8/17/2015 9:31:59 AM","Foldem","CaptMo","Gauss Cannon XIV","$299,999","55","p"
"8/17/2015 10:04:19 AM","IdStew","JackAndCoke","Gravity Drive","$3,000,000","100","o"
"8/17/2015 10:14:05 AM","nemisisVW","IronTrev","Cytoplast Shield IX","$555,555","83","o"
"8/17/2015 10:30:17 AM","Somepilotguy","ArgonPrime","Hold-H205 VII","$5,000","61","g"
"8/17/2015 10:40:55 AM","razorX","reventon","Hold-P113 VI","$769,856","61","g"
"8/17/2015 10:43:08 AM","amarch","MrFruitSalt","Prophecy IV","$125,000","100","p"
"8/17/2015 10:53:25 AM","DeathFlamezX","CR7","Exoprene Shield XV","$46,992","22","b"
"8/17/2015 11:10:58 AM","bigdaddygran","TLN","Penatrator IV","$41,000","59","b"
"8/17/2015 11:23:29 AM","SierraEcho1","Shadowsworn","Disruptor II","$25,000","64","g"
"8/17/2015 11:25:27 AM","AF","DroneRaider","Stealth Drive","$2,000,000","100","g"
"8/17/2015 11:42:28 AM","jokerii","james70","Weird Alien Artifact","$2,390,000","20","g"
"8/17/2015 11:44:33 AM","Everyone","iSmooth","Mass Driver II","$3,664","45","g"
"8/17/2015 11:58:03 AM","SierraEcho1","ifightnerdz","Hold-P112 III","$10,000","34","g"
"8/17/2015 12:03:02 PM","iSmooth","Everyone","Wyvern I","$35,000","60","g"
"8/17/2015 12:09:40 PM","ifightnerdz","TheHague","LCD-V1","$1,200,000","101","o"
"8/17/2015 12:10:41 PM","jokerii","JamesHuiema","WP-V8","$50,000","85","p"
"8/17/2015 12:18:09 PM","Anybody","djxfer","Rapture III","$20,000","59","g"
"8/17/2015 12:27:49 PM","Ware138","iSmooth","Cytoplast Shield III","$5,000","47","g"
"8/17/2015 12:37:25 PM","iSmooth","Stevedolton","Osmium Armor V","$9,500","36","g"
"8/17/2015 12:42:29 PM","markcalico","Stevedolton","Darkness VI","$15,000","38","g"
"8/17/2015 12:53:14 PM","wathcman","Oreos","Drone Tech I","$199,999","100","g"
"8/17/2015 12:54:56 PM","yumatumtum","iSmooth","Mass Driver IX","$20,000","17","b"
"8/17/2015 12:56:57 PM","chickenparm","Mystic02","Hold-W215 V","$4,000","27","g"
"8/17/2015 1:00:57 PM","Neal2Me","Mystic02","Plasma Lance V","$4,235","34","g"
"8/17/2015 1:34:51 PM","Azevir","littledudejr","Eradicator VIII","$150,000","100","b"
"8/17/2015 1:40:36 PM","Myp","DreamShade","Hold-P117 VII","$20,000","63","g"
"8/17/2015 1:42:20 PM","Somepilotguy","DreamShade","Holocrine Shield VI","$10,000","26","g"
"8/17/2015 1:42:52 PM","cupubank","DreamShade","Accelerator II","$17,500","63","g"
"8/17/2015 2:02:30 PM","iSmooth","SPM","Pulverizer I","$15,000","64","g"
"8/17/2015 2:17:06 PM","DayanaSC","hunter83","Behemoth III","$160,000","100","p"
"8/17/2015 2:19:21 PM","gunreaper12","SPM","Carbide Hull XIX","$75,000","30","p"
"8/17/2015 2:19:35 PM","HaRdKoRE","sammael","Osmium Armor XV","$444,444","65","p"
"8/17/2015 2:25:05 PM","LucysEnmity","iSmooth","Proton Launcher V","$15,000","35","g"
"8/17/2015 2:27:09 PM","G1234","iSmooth","Diamond Armor I","$5,000","56","g"
"8/17/2015 2:47:32 PM","markcalico","Zenos","Hold-H107 V","$5,000","22","g"
"8/17/2015 2:48:22 PM","Rickychan","iSmooth","Ruin II","$7,000","40","g"
"8/17/2015 3:25:39 PM","DeesNts","cartoverlord","Alien Hunter","$200,000","100","g"
"8/17/2015 3:26:38 PM","CaptTom","ifightnerdz","Sage Tech I","$225,000","100","g"
"8/16/2015 12:00:47 AM","olo","Wylie28","Accelerator VI","$390,000","70","p"
"8/16/2015 12:02:35 AM","ArgonPrime","kNotMan","Oblivion III","$59,000","51","g"
"8/16/2015 12:04:55 AM","KrytonRD2","Somepilotguy","Composite Hull IV","$1,160","58","g"
"8/16/2015 12:05:45 AM","HermesLLC","kNotMan","Holocrine Shield III","$5,000","62","g"
"8/16/2015 12:06:43 AM","kirasa","Khord","Exoprene Shield VI","$175,000","87","p"
"8/16/2015 12:11:12 AM","HermesLLC","Garydean","Cytoplast Shield VI","$350,000","45","o"
"8/16/2015 12:13:55 AM","gazkull","Somepilotguy","Prophecy VII","$1,500","21","g"
"8/16/2015 12:20:28 AM","plons","Everyone","Titanium Hull IV","$12,500","52","g"
"8/16/2015 1:06:07 AM","cyber187","MantrA","Diamond Armor IV","$15,000","40","g"
"8/16/2015 1:13:17 AM","MrFruitSalt","TitanUranus","LCD-V11","$25,000","42","g"
"8/16/2015 1:16:06 AM","iSmooth","tor","Titanium Hull II","$9,500","51","g"
"8/16/2015 1:21:01 AM","Dean8859","jokeri","Weird Alien Artifact","$200,000","60","g"
"8/16/2015 1:29:53 AM","cyber188","ArgonPrime","Accelerator V","$30,000","28","b"
"8/16/2015 1:34:10 AM","","Galaxy","Gauss Cannon VIII","$100,000","47","p"
"8/16/2015 1:41:12 AM","pilfer","badbeeson","WP-V4","$60,000","100","p"
"8/16/2015 1:41:33 AM","cyber188","Vroxton4","Ajax Gambit XII","$60,000","42","g"
"8/16/2015 1:52:28 AM","VanillaGoril","RubixCube","HX-V11","$100,000","100","b"
"8/16/2015 2:08:47 AM","RivenDeckard","ArgonPrime","Titanium Hull XVI","$575,000","101","p"
"8/16/2015 2:09:19 AM","MrFruitSalt","ArgonPrime","Havok Tech I","$380,000","100","b"
"8/16/2015 2:09:29 AM","Statistic","Somepilotguy","Matter Inverter VII","$1,000","27","g"
"8/16/2015 2:09:29 AM","Statistic","zephael","Hold-P105 III","$1,353","52","g"
"8/16/2015 2:12:21 AM","Hexcision","Diz","Hold-R221 VI","$50,000","100","b"
"8/16/2015 2:22:37 AM","Torment4215","Setan1501","Advanced Munitions","$10,000,000","92","r"
"8/16/2015 2:23:27 AM","Setan1501","ArgonPrime","Eradicator III","$616,800","98","p"
"8/16/2015 2:51:44 AM","MUFC","ArgonPrime","Corruptor II","$5,500","16","g"
"8/16/2015 2:51:44 AM","MUFC","iSmooth","Titanium Hull III","$5,000","62","g"
"8/16/2015 2:51:44 AM","MUFC","Randomius","Hold-P117 III","$5,500","63","g"
"8/16/2015 2:58:44 AM","Everyone","Somepilotguy","Phaser V","$425","16","g"
"8/16/2015 3:04:01 AM","bradrm","2good4u","Grappling Hook","$3,500,000","100","p"
"8/16/2015 3:11:45 AM","zephael","Lunarwolf","Agony II","$2,115","46","g"
"8/16/2015 3:13:29 AM","marineking3","Hoodie","Basilisk V","$10,000","56","g"
"8/16/2015 3:13:58 AM","Greyboar","Hoodie","Viper X","$11,000","39","g"
"8/16/2015 3:16:11 AM","MrFruitSalt","Evil","Exodus IV","$175,200","101","b"
"8/16/2015 3:21:45 AM","TheViperBg","TheHague","Deflector","$1,300,000","100","p"
"8/16/2015 3:31:49 AM","zippooo","TheViperBg","Tractor Beam","$3,950,000","100","o"
"8/16/2015 3:32:48 AM","Ravenna","Crow22","Storage V","$40,000","101","b"
"8/16/2015 3:40:00 AM","DemNipplez","ajayb","Pulverizer VI","$300,000","79","o"
"8/16/2015 3:41:15 AM","Redeye16","2good4u","Grappling Hook","$4,200,000","100","o"
"8/16/2015 3:55:15 AM","UncleBadtouc","Zhier","Hold-P203 VII","$40,000","22","p"
"8/16/2015 3:55:53 AM","setan1500","TheViperBg","Desolator IX","$2,500,000","95","o"
"8/16/2015 4:03:07 AM","ArgonPrime","NineLashes","Banshee X","$59,000","63","g"
"8/16/2015 4:06:30 AM","ArtfulDodger","TheViperBg","Oblivion IV","$1,250,000","100","o"
"8/16/2015 4:10:00 AM","Serberus","Lunarwolf","Hold-H115 IV","$295","18","g"
"8/16/2015 4:10:00 AM","Wyvern512","MrFruitSalt","WP-V6","$3,873","100","g"
"8/16/2015 4:23:06 AM","iSmooth","Cynide","Carbide Hull I","$9,500","46","g"
"8/16/2015 4:24:59 AM","cyber187","Angel","Carbide Hull XVI","$35,000","51","b"
"8/16/2015 4:26:46 AM","2ndhandstore","TheViperBg","Drone Tech II","$3,500,000","100","p"
"8/16/2015 4:32:02 AM","setan1500","TheViperBg","LCD-V12","$2,999,999","100","o"
"8/16/2015 4:34:08 AM","LukeRm","Diz","Hold-P121 VIII","$139,000","20","g"
"8/16/2015 4:38:09 AM","markcalico","Somepilotguy","Agent Mk. II","$5,000","43","g"
"8/16/2015 4:39:29 AM","iSmooth","kNotMan","Wyvern II","$22,000","22","g"
"8/16/2015 4:50:04 AM","iSmooth","kNotMan","Holocrine Shield III","$9,500","50","g"
"8/16/2015 4:50:53 AM","iSmooth","kNotMan","Hold-W117 IV","$9,500","59","g"
"8/16/2015 4:51:51 AM","iSmooth","Angel","Carbide Hull IX","$29,000","44","g"
"8/16/2015 4:53:44 AM","kirasa","kNotMan","Hold-H210 IV","$11,000","31","g"
"8/16/2015 4:58:20 AM","Skitarii","Angel","Basilisk V","$30,000","32","g"
"8/16/2015 5:07:42 AM","ArgonPrime","Angel","Basilisk V","$59,000","42","g"
"8/16/2015 5:29:28 AM","bumalu","snakeyes","Hold-W120 IV","$8,000","48","g"
"8/16/2015 5:50:32 AM","VOLTRON","Somepilotguy","Thorium Armor IX","$3,025","22","g"
"8/16/2015 6:11:32 AM","Rossmann","Somepilotguy","Hold-P215 V","$1,996","43","g"
"8/16/2015 6:21:46 AM","cyber178","ArgonPrime","Corruptor IX","$25,000","40","g"
"8/16/2015 6:28:12 AM","XxSeekerxX","bank1of1","Cytoplast Shield XIV","$45,000","46","b"
"8/16/2015 6:32:57 AM","setan1500","kirasa","Rail Gun IX","$99,999","54","p"
"8/16/2015 6:38:41 AM","PigIron","CaptMoss","Pulverizer I","$4,400","61","g"
"8/16/2015 6:41:04 AM","cyber178","reventon","Hold-R122 V","$20,000","43","g"
"8/16/2015 6:52:48 AM","palmolive","GreenGlow6","Ion Cannon II","$9,500","42","g"
"8/16/2015 6:57:49 AM","BaBaa","iSmooth","Osmium Armor VI","$5,000","41","g"
"8/16/2015 7:04:49 AM","Feli","D4rkfox","Destruction XIII","$10,000","64","g"
"8/16/2015 7:06:49 AM","inviktus","Evil","Viper X","$300,000","69","p"
"8/16/2015 7:21:55 AM","iSmooth","ArgonPrime","Succubus I","$29,000","44","g"
"8/16/2015 7:24:56 AM","ETphoneHOME","cupubank","Composite Hull IX","$10,000","27","b"
"8/16/2015 7:36:23 AM","iSmooth","D4rkfox","Cytoplast Shield VI","$7,500","37","g"
"8/16/2015 7:41:56 AM","Somepilotguy","Pravdivcev","Leviathan X","$100,000","53","p"
"8/16/2015 7:49:12 AM","TheViperBg","RivenDeckard","Titanium Hull XXII","$500,000","100","p"
"8/16/2015 7:51:03 AM","DaDjsMule1","Somepilotguy","Hold-W114 VII","$3,630","64","b"
"8/16/2015 8:53:45 AM","squidII","TheViperBg","Stealth Drive","$2,149,500","100","b"
"8/16/2015 8:54:20 AM","DAN2","SamBell","Havok Tech I","$399,296","97","b"
"8/16/2015 9:03:26 AM","Metalgirl","JackAndCoke","Deflector","$2,750,000","100","o"
"8/16/2015 9:10:24 AM","oceanharmony","Mystic02","Titanium Hull VI","$1,300","36","g"
"8/16/2015 9:16:05 AM","cyber187","Borg","Aegis Gambit IX","$20,000","33","g"
"8/16/2015 9:43:00 AM","iSmooth","Vroxton4","Burst Cannon III","$39,000","43","g"
"8/16/2015 9:50:37 AM","Ginger777","ArgonPrime","Basilisk III","$25,000","48","g"
"8/16/2015 9:56:55 AM","stexi","Golff","Exoprene Shield IV","$5,000","52","g"
"8/16/2015 10:00:02 AM","losser","ArchAngyl","Sage Tech I","$2,050,000","95","o"
"8/16/2015 10:18:09 AM","zippooo","pickles9878","DCD-V6","$150,000","80","b"
"8/16/2015 10:24:41 AM","seeker66","Golff","Hold-W115 III","$5,000","40","g"
"8/16/2015 10:26:07 AM","quiyet","iguy","Burst Cannon IV","$100,000","43","b"
"8/16/2015 10:33:45 AM","IdStew","KrytonRD","Sage Tech III","$20,000,000","100","w"
"8/16/2015 10:37:58 AM","seeker66","rudirude","Hold-W115 IV","$5,000","37","g"
